dataset,seed,C,alpha,train_accuracy,val_accuracy,test_accuracy,train_f1_weighted,val_f1_weighted,test_f1_weighted,train_val_gap,train_test_gap,coef_l2_norm
sklearn_breast_cancer,7,0.0003,3333.3333333333335,0.7889447236180904,0.7647058823529411,0.7674418604651163,0.7623105187347957,0.7357478755878227,0.7327563424947146,0.024238841265149302,0.021502863152974117,0.12555741316311828
sklearn_breast_cancer,7,0.001,1000.0,0.8894472361809045,0.8705882352941177,0.9186046511627907,0.8842666882498393,0.866650227860124,0.9169564777575075,0.018859000886786825,-0.029157414981886176,0.2762443290904115
sklearn_breast_cancer,7,0.003,333.3333333333333,0.9396984924623115,0.9294117647058824,0.9302325581395349,0.9384190823899471,0.9289268395530256,0.9291528239202658,0.010286727756429137,0.009465934322776648,0.47737489189401316
sklearn_breast_cancer,7,0.01,100.0,0.9522613065326633,0.9529411764705882,0.9418604651162791,0.9515917740292875,0.9526178930353502,0.9406831983982197,-0.000679869937924904,0.010400841416384199,0.7776467296147086
sklearn_breast_cancer,7,0.03,33.333333333333336,0.9698492462311558,0.9764705882352941,0.9767441860465116,0.9696177307764657,0.9763089465176752,0.9765805087635545,-0.006621342004138331,-0.006894939815355827,1.1489437525745085
sklearn_breast_cancer,7,0.1,10.0,0.9798994974874372,0.9764705882352941,0.9883720930232558,0.9798107341943463,0.9763089465176752,0.9884072024476285,0.0034289092521431197,-0.008472595535818583,1.6927379206773792
sklearn_breast_cancer,7,0.3,3.3333333333333335,0.9849246231155779,0.9882352941176471,0.9883720930232558,0.9848811900336648,0.9881968986971735,0.9884072024476285,-0.0033106710020691654,-0.003447469907677858,2.369986351105106
sklearn_breast_cancer,7,1.0,1.0,0.9874371859296482,0.9764705882352941,0.9767441860465116,0.9874103348420975,0.9764705882352941,0.9768771523927293,0.010966597694354152,0.010692999883136656,3.4647583236735984
sklearn_breast_cancer,7,3.0,0.3333333333333333,0.9899497487437185,0.9764705882352941,0.9651162790697675,0.9899207933557764,0.9764705882352941,0.9653989190261318,0.01347916050842446,0.02483346967395106,5.059241612104656
sklearn_breast_cancer,7,10.0,0.1,0.9899497487437185,0.9764705882352941,0.9534883720930233,0.9899207933557764,0.9764705882352941,0.9539619067662843,0.01347916050842446,0.036461376650695265,8.141922723940528
sklearn_breast_cancer,7,30.0,0.03333333333333333,0.9874371859296482,0.9764705882352941,0.9651162790697675,0.9874103348420975,0.9764705882352941,0.9653989190261318,0.010966597694354152,0.02232090685988075,12.67975134525953
sklearn_breast_cancer,7,100.0,0.01,0.9874371859296482,0.9882352941176471,0.9651162790697675,0.9874103348420975,0.9881968986971735,0.9653989190261318,-0.0007981081879988583,0.02232090685988075,20.625248502301975
sklearn_breast_cancer,7,300.0,0.0033333333333333335,0.9899497487437185,0.9882352941176471,0.9651162790697675,0.9899355846364652,0.9881968986971735,0.9653989190261318,0.0017144546260714488,0.02483346967395106,30.38398379319205
sklearn_breast_cancer,7,1000.0,0.001,0.9899497487437185,0.9764705882352941,0.9651162790697675,0.9899355846364652,0.9764705882352941,0.9653989190261318,0.01347916050842446,0.02483346967395106,48.277335225817836
sklearn_breast_cancer,21,0.0001,10000.0,0.6381909547738693,0.6705882352941176,0.627906976744186,0.5072584235331611,0.5768998146522291,0.4843853820598007,-0.03239728052024826,0.010283978029683283,0.05082016257728537
sklearn_breast_cancer,21,0.0003,3333.3333333333335,0.7788944723618091,0.7529411764705882,0.7441860465116279,0.7486674607995497,0.7130389823023148,0.6988329499957406,0.025953295891220862,0.03470842585018119,0.12536425882331265
sklearn_breast_cancer,21,0.001,1000.0,0.8844221105527639,0.9294117647058824,0.8604651162790697,0.8790060831702866,0.9276514053897422,0.8513416815742398,-0.04498965415311851,0.023956994273694132,0.273732865101213
sklearn_breast_cancer,21,0.003,333.3333333333333,0.9321608040201005,0.9647058823529412,0.9302325581395349,0.9304940509209281,0.9643236930807817,0.9284598826657662,-0.032545078332840705,0.0019282458805656155,0.47382326393669677
sklearn_breast_cancer,21,0.01,100.0,0.9472361809045227,0.9647058823529412,0.9418604651162791,0.9462849406691458,0.9643236930807817,0.9406831983982197,-0.01746970144841853,0.005375715788243585,0.7761082777348226
sklearn_breast_cancer,21,0.03,33.333333333333336,0.964824120603015,0.9764705882352941,0.9651162790697675,0.964493185558072,0.9763089465176752,0.9647298842876425,-0.011646467632279056,-0.0002921584667524568,1.1526917022383565
sklearn_breast_cancer,21,0.1,10.0,0.9748743718592965,1.0,0.9651162790697675,0.9747232443934458,1.0,0.9647298842876425,-0.025125628140703515,0.009758092789528994,1.7072720409545195
sklearn_breast_cancer,21,0.3,3.3333333333333335,0.9824120603015075,1.0,0.9767441860465116,0.9823744687789364,1.0,0.9765805087635545,-0.017587939698492483,0.0056678742549959304,2.3686002068028453
sklearn_breast_cancer,21,1.0,1.0,0.9824120603015075,1.0,0.9883720930232558,0.9823744687789364,1.0,0.9883331470700791,-0.017587939698492483,-0.005960032721748276,3.3687607831908726
sklearn_breast_cancer,21,3.0,0.3333333333333333,0.9849246231155779,1.0,0.9883720930232558,0.9848811900336648,1.0,0.9884072024476285,-0.015075376884422065,-0.003447469907677858,4.857374095344751
sklearn_breast_cancer,21,10.0,0.1,0.9849246231155779,1.0,0.9883720930232558,0.984903376954698,1.0,0.9884072024476285,-0.015075376884422065,-0.003447469907677858,7.859677070961061
sklearn_breast_cancer,21,30.0,0.03333333333333333,0.9874371859296482,1.0,0.9883720930232558,0.9874284307630374,1.0,0.9884072024476285,-0.012562814070351758,-0.000934907093607551,12.695177156559302
sklearn_breast_cancer,21,100.0,0.01,0.9874371859296482,0.9764705882352941,0.9883720930232558,0.9874284307630374,0.9764705882352941,0.9884072024476285,0.010966597694354152,-0.000934907093607551,20.888286427402058
sklearn_breast_cancer,21,300.0,0.0033333333333333335,0.9899497487437185,0.9764705882352941,0.9651162790697675,0.9899497487437185,0.9764705882352941,0.9653989190261318,0.01347916050842446,0.02483346967395106,32.45444849714714
sklearn_breast_cancer,21,1000.0,0.001,0.992462311557789,0.9882352941176471,0.9534883720930233,0.9924570584578225,0.98826976944624,0.9539619067662843,0.004227017440141867,0.03897393946476568,59.80460382795186
sklearn_breast_cancer,42,0.0001,10000.0,0.6381909547738693,0.6470588235294118,0.6511627906976745,0.5072584235331611,0.5302768166089966,0.535181109855469,-0.008867868755542463,-0.01297183592380513,0.05115190652612192
sklearn_breast_cancer,42,0.0003,3333.3333333333335,0.7763819095477387,0.7411764705882353,0.7674418604651163,0.7452041668773813,0.6956320028011205,0.7327563424947146,0.03520543895950334,0.008940049082622359,0.1263365901918325
sklearn_breast_cancer,42,0.001,1000.0,0.8894472361809045,0.9058823529411765,0.8953488372093024,0.8842666882498393,0.9024620374465575,0.890811514067328,-0.016435116760271984,-0.005901601028397874,0.2763610877966718
sklearn_breast_cancer,42,0.003,333.3333333333333,0.9371859296482412,0.9647058823529412,0.9186046511627907,0.9357841747835999,0.9643236930807817,0.9160839408936903,-0.02751995270469998,0.018581278485450547,0.4792757226270962
sklearn_breast_cancer,42,0.01,100.0,0.9597989949748744,0.9647058823529412,0.9186046511627907,0.9592736662270377,0.9643236930807817,0.9160839408936903,-0.004906887378066771,0.041194343812083756,0.7866865813899696
sklearn_breast_cancer,42,0.03,33.333333333333336,0.9798994974874372,0.9647058823529412,0.9302325581395349,0.9797785955147567,0.9645906960915207,0.9284598826657662,0.015193615134496019,0.04966693934790234,1.166860780734322
sklearn_breast_cancer,42,0.1,10.0,0.9849246231155779,0.9882352941176471,0.9767441860465116,0.9848811900336648,0.98826976944624,0.9765805087635545,-0.0033106710020691654,0.008180437069066349,1.7177432326040962
sklearn_breast_cancer,42,0.3,3.3333333333333335,0.9849246231155779,0.9882352941176471,0.9767441860465116,0.9848811900336648,0.98826976944624,0.9765805087635545,-0.0033106710020691654,0.008180437069066349,2.3762520324612812
sklearn_breast_cancer,42,1.0,1.0,0.9874371859296482,0.9882352941176471,0.9883720930232558,0.9874103348420975,0.98826976944624,0.9883331470700791,-0.0007981081879988583,-0.000934907093607551,3.3820265961745672
sklearn_breast_cancer,42,3.0,0.3333333333333333,0.9874371859296482,0.9882352941176471,0.9883720930232558,0.9874103348420975,0.98826976944624,0.9883331470700791,-0.0007981081879988583,-0.000934907093607551,4.872285258692719
sklearn_breast_cancer,42,10.0,0.1,0.9899497487437185,0.9882352941176471,0.9767441860465116,0.9899355846364652,0.9881968986971735,0.9765805087635545,0.0017144546260714488,0.013205562697206963,8.420538370334866
sklearn_breast_cancer,42,30.0,0.03333333333333333,0.9949748743718593,0.9882352941176471,0.9534883720930233,0.9949677923182326,0.9881968986971735,0.953161017527109,0.006739580254212174,0.04148650227883599,14.755525500150599
sklearn_breast_cancer,42,100.0,0.01,0.9949748743718593,0.9647058823529412,0.9418604651162791,0.9949677923182326,0.9648093083387201,0.9416657353503951,0.030268992018918084,0.0531144092555802,26.19361280785658
sklearn_breast_cancer,42,300.0,0.0033333333333333335,1.0,0.9647058823529412,0.9418604651162791,1.0,0.9648093083387201,0.9416657353503951,0.03529411764705881,0.05813953488372092,40.55696430862433
sklearn_breast_cancer,42,1000.0,0.001,1.0,0.9647058823529412,0.9418604651162791,1.0,0.9648093083387201,0.9416657353503951,0.03529411764705881,0.05813953488372092,61.56577992074652
uci_glass_identification,7,0.0001,10000.0,0.35570469798657717,0.34375,0.36363636363636365,0.18665692072562962,0.17587209302325582,0.19393939393939394,0.011954697986577167,-0.007931665649786479,0.008960837293472215
uci_glass_identification,7,0.0003,3333.3333333333335,0.35570469798657717,0.34375,0.36363636363636365,0.18665692072562962,0.17587209302325582,0.19393939393939394,0.011954697986577167,-0.007931665649786479,0.026578657503472464
uci_glass_identification,7,0.001,1000.0,0.35570469798657717,0.34375,0.36363636363636365,0.18665692072562962,0.1800595238095238,0.19393939393939394,0.011954697986577167,-0.007931665649786479,0.0851354561665575
uci_glass_identification,7,0.003,333.3333333333333,0.348993288590604,0.3125,0.3333333333333333,0.27767731526285416,0.2467008797653959,0.2616161616161616,0.03649328859060402,0.015659955257270708,0.22828142218736755
uci_glass_identification,7,0.01,100.0,0.5234899328859061,0.4375,0.45454545454545453,0.4770619336692005,0.38078703703703703,0.426336009669343,0.08598993288590606,0.06894447834045153,0.5568462624354483
uci_glass_identification,7,0.03,33.333333333333336,0.5637583892617449,0.4375,0.5454545454545454,0.5142050306754894,0.38095238095238093,0.5207489642973514,0.12625838926174493,0.018303843807199516,1.0361405491713982
uci_glass_identification,7,0.1,10.0,0.5906040268456376,0.5,0.6363636363636364,0.5383090776184898,0.42598684210526316,0.6076675849403121,0.09060402684563762,-0.045759609517998734,1.854304572018973
uci_glass_identification,7,0.3,3.3333333333333335,0.6241610738255033,0.59375,0.6666666666666666,0.5936422403946592,0.5632440476190477,0.6406204906204905,0.030411073825503343,-0.04250559284116329,3.0629234708066155
uci_glass_identification,7,1.0,1.0,0.7114093959731543,0.5625,0.6666666666666666,0.6871963482701738,0.533994708994709,0.646517623790351,0.14890939597315433,0.044742729306487705,5.114741129837571
uci_glass_identification,7,3.0,0.3333333333333333,0.7248322147651006,0.5625,0.6666666666666666,0.7028125710320736,0.533994708994709,0.6499763872491146,0.16233221476510062,0.058165548098433995,7.900490359735216
uci_glass_identification,7,10.0,0.1,0.7315436241610739,0.5625,0.6363636363636364,0.7063656701240594,0.5079326923076923,0.6128797289666855,0.16904362416107388,0.09517998779743753,12.299395910432953
uci_glass_identification,7,30.0,0.03333333333333333,0.7181208053691275,0.5625,0.6363636363636364,0.693347466698936,0.5079326923076923,0.6128797289666855,0.15562080536912748,0.08175716900549113,17.525598021396874
uci_glass_identification,7,100.0,0.01,0.7315436241610739,0.625,0.6363636363636364,0.7063656701240594,0.6000457875457875,0.6128797289666855,0.10654362416107388,0.09517998779743753,23.727500874716704
